"archivo","tipo","duracion_segundos","duracion_hh_mm_ss"
"EFT-01_Entrevista Parte 2.mp3","Audio","478,752","00:07:58,752"
"EFT-01_Entrevista Parte 2.mp4","Video","478,72","00:07:58,720"
"EFT-01_Entrevista.mp3","Audio","550,248","00:09:10,248"
"EFT-01_Entrevista.mp4","Video","550,208","00:09:10,208"
"EFT-02_Entrevista.mp3","Audio","1047,264","00:17:27,264"
"EFT-02_Entrevista.mp4","Video","1047,24","00:17:27,240"
"EFT-03_Entrevista.mp3","Audio","838,872","00:13:58,872"
"EFT-03_Entrevista.mp4","Video","838,848","00:13:58,848"
"EV2-PAC-01_Entrevista.mp3","Audio","285,909","00:04:45,909"
"EV2-PAC-01_Entrevista.mp4","Video","285,916","00:04:45,916"
"EV2-PAC-01_Walktrough.mp3","Audio","126,168","00:02:06,168"
"EV2-PAC-01_Walktrough.mp4","Video","126,162","00:02:06,162"
"EV2-PAC-03_Entrevista.mp3","Audio","257,344","00:04:17,344"
"EV2-PAC-03_Entrevista.mp4","Video","257,345","00:04:17,345"
"EV2-PAC-03_Walkthrough.mp3","Audio","207,096","00:03:27,096"
"EV2-PAC-03_Walkthrough.mp4","Video","207,116","00:03:27,116"
"EV2-PAC-04_Entrevista.mp3","Audio","444,864","00:07:24,864"
"EV2-PAC-04_Entrevista.mp4","Video","444,864","00:07:24,864"
"EV2-PAC-04_Walkthrough.mp3","Audio","244,752","00:04:04,752"
"EV2-PAC-04_Walkthrough.mp4","Video","244,722","00:04:04,722"
"EV2-PAC-05_Entrevista.m4a","Audio","788,523","00:13:08,523"
"EV2-PAC-05_Entrevista.mp4","Video","788,523","00:13:08,523"
"EV2-PAC-05_Walktrough.mp3","Audio","263,4","00:04:23,400"
"EV2-PAC-05_Walktrough.mp4","Video","263,36","00:04:23,360"
"EV2-PAC-06_Entrevista.m4a","Audio","735,04","00:12:15,040"
"EV2-PAC-06_Entrevista.mp4","Video","735,08","00:12:15,080"
"EV2-PAC-06_Walktrough.mp3","Audio","165,528","00:02:45,528"
"EV2-PAC-06_Walktrough.mp4","Video","165,483","00:02:45,483"
"EV2-PAC-07_Entrevista.m4a","Audio","565,76","00:09:25,760"
"EV2-PAC-07_Entrevista.mp4","Video","565,76","00:09:25,760"
"EV2-PAC-07_Walktrough.mp3","Audio","189,264","00:03:09,264"
"EV2-PAC-07_Walktrough.mp4","Video","189,227","00:03:09,227"
"EV2-PAC-08_Entrevista.m4a","Audio","600,405","00:10:00,405"
"EV2-PAC-08_Entrevista.mp4","Video","600,405","00:10:00,405"
"EV2-PAC-09_Entrevista.m4a","Audio","456,597","00:07:36,597"
"EV2-PAC-09_Entrevista.mp4","Video","456,6","00:07:36,600"
"EV2-PAC-09_Walktrough.mp3","Audio","486,936","00:08:06,936"
"EV2-PAC-09_Walktrough.mp4","Video","486,891","00:08:06,891"
"EVA2-PAC-10_Walkthrough.mp3","Audio","81,11","00:01:21,110"
"EVA2-PAC-10_Walkthrough.mp4","Video","81,064","00:01:21,064"
"EVA2-PAC-11_Walkthrough.mp3","Audio","218,358","00:03:38,358"
"EVA2-PAC-11_Walkthrough.mp4","Video","218,299","00:03:38,299"
"EVA2-PAC-13_Walkthrough.mp3","Audio","292,284","00:04:52,284"
"EVA2-PAC-13_Walkthrough.mp4","Video","292,294","00:04:52,294"
"EVA2-PAC-14_Walkthrough.mp3","Audio","118,936","00:01:58,936"
"EVA2-PAC-14_Walkthrough.mp4","Video","118,887","00:01:58,887"
"FAM-01_Entrevista.mp3","Audio","874,032","00:14:34,032"
"FAM-01_Entrevista.mp4","Video","874,04","00:14:34,040"
"FAM-02_Entrevista.mp3","Audio","665,809","00:11:05,809"
"FAM-02_Entrevista.mp4","Video","665,764","00:11:05,764"
"FAM-03_Entrevista.mp3","Audio","785,124","00:13:05,124"
"FAM-03_Entrevista.mp4","Video","785,024","00:13:05,024"
"FAM-04_Entrevista.mp3","Audio","759,168","00:12:39,168"
"FAM-04_Entrevista.mp4","Video","759,168","00:12:39,168"
"FIS-01_Entrevista.mp3","Audio","432,984","00:07:12,984"
"FIS-01_Entrevista.mp4","Video","432,96","00:07:12,960"
"WALK-NTEC-01_Entrevista.mp3","Audio","237,077","00:03:57,077"
"WALK-NTEC-01_Entrevista.mp4","Video","237,077","00:03:57,077"
"WALK-NTEC-01_Walktrough.mp3","Audio","207,576","00:03:27,576"
"WALK-NTEC-01_Walktrough.mp4","Video","207,572","00:03:27,572"
"WALK-TEC-01_Entrevista.mp3","Audio","1072,043","00:17:52,043"
"WALK-TEC-01_Entrevista.mp4","Video","1072,08","00:17:52,080"
"WALK-TEC-01_Preguntas_Adicionales_Entrevista.mp4","Video","546,539","00:09:06,539"
"WALK-TEC-01_Walkthrough.mp3","Audio","561,384","00:09:21,384"
"WALK-TEC-01_Walkthrough.mp4","Video","561,36","00:09:21,360"
"Walkthrough_walk_TEC-02.mp3","Audio","239,544","00:03:59,544"
"Walkthrough_walk_TEC-02.mp4","Video","239,509","00:03:59,509"
