dimension,grupo,n,media,mediana,de,min,max,iqr
completitud,human,33,4.129,4.0,0.349,3.5,5.0,0.25
completitud,llm,33,3.992,4.0,0.431,3.25,5.0,0.5
ausencia_ambiguedad,human,33,3.538,3.5,0.376,3.0,4.25,0.5
ausencia_ambiguedad,llm,33,3.667,3.75,0.389,3.0,4.5,0.75
verificabilidad,human,33,4.167,4.25,0.304,3.25,4.75,0.5
verificabilidad,llm,33,4.152,4.25,0.272,3.5,4.5,0.25
correccion_fuente,human,33,4.394,4.5,0.265,4.0,4.75,0.25
correccion_fuente,llm,33,4.379,4.5,0.301,3.75,5.0,0.25
consistencia_interna,human,33,4.053,4.0,0.298,3.5,4.75,0.25
consistencia_interna,llm,33,3.909,4.0,0.241,3.5,4.25,0.25
puntaje_global,human,33,4.056,4.05,0.162,3.75,4.3,0.3
puntaje_global,llm,33,4.02,4.0,0.159,3.75,4.35,0.2
